Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes
1,Arsenal,14,12,1,1,33,11,+22,37,2.64,26.2,11.8,+14.3,+1.02,W D W W W,60135,Martin Ødegaard - 6,Aaron Ramsdale,
2,Manchester City,14,10,2,2,40,14,+26,32,2.29,27.6,11.2,+16.4,+1.17,L W W W L,53152,Erling Haaland - 18,Ederson,
3,Newcastle Utd,15,8,6,1,29,11,+18,30,2.00,24.3,14.3,+9.9,+0.66,W W W W W,52177,Miguel Almirón - 8,Nick Pope,
4,Tottenham,15,9,2,4,31,21,+10,29,1.93,24.1,16.5,+7.6,+0.50,L L W L W,61667,Harry Kane - 12,Hugo Lloris,
5,Manchester Utd,14,8,2,4,20,20,0,26,1.86,18.8,17.3,+1.5,+0.11,W D W L W,73729,Marcus Rashford - 4,David de Gea,
6,Liverpool,14,6,4,4,28,17,+11,22,1.57,24.2,19.5,+4.7,+0.34,W L L W W,53226,Roberto Firmino - 7,Alisson,
7,Brighton,14,6,3,5,23,19,+4,21,1.50,21.5,15.9,+5.6,+0.40,D L W W L,31425,Leandro Trossard - 7,Robert Sánchez,
8,Chelsea,14,6,3,5,17,17,0,21,1.50,15.4,19.3,-3.9,-0.28,D D L L L,39901,Raheem Sterling Kai Havertz - 3,Edouard Mendy,
9,Fulham,15,5,4,6,24,26,-2,19,1.27,19.6,27.3,-7.6,-0.51,W W D L L,22871,Aleksandar Mitrović - 9,Bernd Leno,
10,Brentford,15,4,7,4,23,25,-2,19,1.27,20.3,20.3,0.0,0.00,D L D D W,17066,Ivan Toney - 10,David Raya,
11,Crystal Palace,14,5,4,5,15,18,-3,19,1.36,14.0,18.3,-4.3,-0.31,W L W W L,24691,Wilfried Zaha - 6,Vicente Guaita,
12,Aston Villa,15,5,3,7,16,22,-6,18,1.20,17.7,19.3,-1.6,-0.10,L W L W W,41682,Danny Ings - 5,Emiliano Martínez,
13,Leicester City,15,5,2,8,25,25,0,17,1.13,17.6,22.2,-4.6,-0.31,W W L W W,31630,James Maddison - 7,Danny Ward,
14,Bournemouth,15,4,4,7,18,32,-14,16,1.07,11.6,24.2,-12.6,-0.84,L L L L W,10396,Philip Billing Kieffer Moore - 4,Neto Mark Travers,
15,Leeds United,14,4,3,7,22,26,-4,15,1.07,20.3,20.2,+0.1,+0.01,L L W W L,36441,Rodrigo - 9,Illan Meslier,
16,West Ham,15,4,2,9,12,17,-5,14,0.93,18.6,15.5,+3.1,+0.20,L W L L L,62444,Gianluca Scamacca Jarrod Bowen... - 2,Łukasz Fabiański,
17,Everton,15,3,5,7,11,17,-6,14,0.93,15.4,25.4,-10.0,-0.66,L W D L L,39209,Anthony Gordon - 3,Jordan Pickford,
18,Nott'ham Forest,15,3,4,8,11,30,-19,13,0.87,15.3,24.1,-8.8,-0.59,D W L D W,29040,Taiwo Awoniyi - 3,Dean Henderson,
19,Southampton,15,3,3,9,13,27,-14,12,0.80,14.7,19.8,-5.1,-0.34,W D L L L,30681,Che Adams - 4,Gavin Bazunu,
20,Wolves,15,2,4,9,8,24,-16,10,0.67,14.9,19.6,-4.8,-0.32,L L D L L,31619,Rúben Neves - 4,José Sá,